,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
noi,956.2554258,-0.928562164,1.016897465,-0.91313254,0.361172838,0.716939193,
Vha26,2745.114412,0.164060367,0.653037825,0.251226439,0.801639045,0.95520663,
kra,10528.17145,-0.330921597,0.443653903,-0.745900341,0.455727619,0.793473621,
CG1427,207.5700203,0.777023185,1.91814366,0.405091235,0.685410449,0.914713278,
asl,132.1792926,9.400734292,1.894402835,4.96237343,6.96E-07,1.91E-05,
Rga,145.1440111,-0.441096681,2.762343913,-0.159682029,NA,NA,
Spec2,103.0637296,4.75067703,1.883636999,2.522076723,0.011666426,0.071358223,
CG2911,15.55271792,7.277446071,3.862562987,1.884097708,0.05955176,0.239592913,
RpL13A,11614.50637,-0.790750312,0.356018376,-2.221094089,0.026344589,0.134772407,
CG31549,1618.044256,-0.36574094,0.646448562,-0.565769593,0.571550419,0.860105828,
CG12171,622.9179123,0.179855421,1.037541082,0.173347759,0.862378086,0.970601995,
CG31548,523.0394311,-0.158963262,1.403776975,-0.113239684,0.909840534,0.983090283,
CG12170,289.8585845,-0.119671511,1.639407118,-0.072996823,0.941808646,0.988890828,
MTA1-like,229.4656275,7.080284871,2.014462772,3.514726094,0.000440208,0.004648832,
Sec23,535.5276829,2.269079325,1.378529663,1.646014145,0.099760847,0.336336519,
elm,879.440451,-0.883194547,0.917441166,-0.962671591,0.335712358,0.690370859,
MED27,485.4488459,-2.31662835,1.343163237,-1.724755626,0.084571522,0.301828418,
CG2182,1320.353706,0.182790526,1.056540864,0.173008477,0.862644765,0.970601995,
Wdr33,308.2078418,0.466672362,1.762347511,0.264801556,0.791162338,0.951305064,
Xe7,638.3344002,-1.83621568,1.950501572,-0.941406922,0.346496368,0.702771276,
Atg17,87.5689149,7.246838803,1.888856464,3.836627579,0.000124735,0.001590444,
Rab23,167.5390141,2.095946356,2.60025761,0.806053349,0.420212089,0.764944768,
CG1239,260.5437132,-0.551118723,1.875028964,-0.293925445,0.768814874,0.946263402,
CG2100,175.5627902,1.218130513,1.977093371,0.616121894,0.537814073,0.844490413,
CG1236,796.2986112,-1.417655289,0.844721499,-1.678251696,0.093297973,0.320330308,
Sym,91.83787108,-3.649533237,3.73038866,-0.978325201,NA,NA,
Madm,104.6030938,2.407517905,1.871169924,1.286637774,0.198220571,0.52099288,
CG2091,254.9918673,2.967652386,2.082433232,1.425088853,0.154131519,0.448507458,
